atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
104,105,O,9.553951657235082,9.55073251090179,-0.003219146333291789,0.004770096753887576,0.0016471147000009143,-0.0009510815999998254,-0.004374503400002275
98,99,O,9.553951657235082,9.550731920157958,-0.0032197370771243072,0.004769286338763731,-0.0016456160999999637,-0.0009502035000001889,-0.0043743746000001705
106,107,O,9.553952049002548,9.550732376017233,-0.003219672985315114,0.0047690421567049565,1.1200000478482977e-08,0.0019000242000007156,-0.00437420520000094
154,155,O,5.526688640898384,5.528442432570805,0.0017537916724208458,0.004608881851328944,0.002841888999999928,-0.0016409930000008338,-0.003236139799998911
153,154,O,5.52668908159415,5.52843954480638,0.0017504632122298247,0.004605373730774847,-2.4824000001801624e-06,0.003277753000000227,-0.003235088299999057
157,158,O,5.5266887049538544,5.528439670713691,0.0017509657598369088,0.004605166059259565,-0.0028394859000001127,-0.0016375447000005578,-0.0032347058000005047
5,6,Zn,7.301429364045372,7.3028174161885735,0.0013880521432012571,0.00422913150101669,0.0022867787999997675,-0.0013199483999998167,-0.003303624100000063
2,3,Zn,7.3014294610167,7.3028182701862,0.001388809169499794,0.00422902197409195,-0.0022863864000011902,-0.0013191792000001555,-0.003304062699999672
3,4,Zn,7.301429076868789,7.302817463997474,0.0013883871286850535,0.004228845252844462,-8.189999966125121e-08,0.0026398493999999994,-0.0033036838999996915
177,178,O,7.53638012574001,7.533575777213031,-0.0028043485269790835,0.0037933789326659874,0.0006690404000001709,0.0013768584999997939,0.0034707879999994347
173,174,O,7.536379917072255,7.53357576122589,-0.002804155846364509,0.003792956419041049,-0.0008572768000010103,-0.0012675249000000282,0.0034705872000001157
170,171,O,7.536379917072255,7.533575866223977,-0.0028040508482778392,0.003792718924875925,0.000857600500000357,-0.0012673482000000729,0.0034703121999998367
171,172,O,7.536380125740009,7.533576431534353,-0.002803694205655738,0.0037926630989405736,-0.0006690361000001125,0.0013767383999996354,0.003470054100000258
178,179,O,7.53638030450806,7.533576286202375,-0.0028040183056852186,0.003792568449928546,0.0015260907000006732,-0.00010889340000050158,0.003470268700000218
175,176,O,7.53638030450806,7.5335766367735495,-0.002803667734510462,0.003792458330381533,-0.0015263367000001745,-0.00010864000000024677,0.0034700480999998846
161,162,O,11.883377400673975,11.88016792299876,-0.0032094776752149556,0.003560426050656485,9.509000000017783e-06,-5.437800000030797e-06,-0.003560409199999839
162,163,O,11.883377457427537,11.880167910737892,-0.0032095466896446823,0.0035604254745669776,3.855999997905899e-07,1.0003699999762408e-05,-0.003560411399999225
167,168,O,11.883377400673975,11.880168448218242,-0.0032089524557328275,0.0035601204559811053,-8.566199999771299e-06,-5.501099999954755e-06,-0.0035601058999995302
22,23,Zn,11.439436746448841,11.442763395829788,0.0033266493809467335,0.0033299359559808136,-0.0003638303000002694,0.00021042899999999264,0.0033033044999961135
21,22,Zn,11.439436615543137,11.442763219548718,0.0033266040055810464,0.0033298576898914208,6.903000008722567e-07,-0.00042102669999982716,0.0033031330999979693
25,26,Zn,11.439436746448841,11.442763267919853,0.0033265214710116453,0.003329770271010026,0.00036490259999995636,0.00021021529999983146,0.0033030327999978197
67,68,Ga,8.747630000000001,8.750936867400029,0.0033068674000276133,0.00330686747316628,-2.6469999953313543e-07,6.432999998248366e-07,-0.003306867400000211
99,100,O,10.131409874365165,10.128706203818092,-0.0027036705470724343,0.0031640708169201784,3.3019999990020494e-07,-0.0008678717999997572,-0.003042719599999163
