atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
0,1,Zn,8.042284336130438,8.040465555348566,-0.0018187807818712542,0.0023524225769598387,0.00010446390000016643,-6.049220000028823e-05,0.0023493233000007148
92,93,O,5.8397267976250005,5.839698172662568,-2.8624962432388656e-05,0.002346676941474252,2.535519999995266e-05,-1.5296800000413344e-05,0.0023464900999982208
77,78,Ga,5.150205611388395,5.150016390990034,-0.00018922039836066773,0.002112580145089159,0.0004560406000001786,0.0001550306000000824,0.0020569363999988007
73,74,Ga,5.150206015561318,5.150018508528451,-0.0001875070328676287,0.002111974127879111,9.110909999976457e-05,-0.00047273189999962344,0.0020563702000006494
74,75,Ga,5.150205542650432,5.150117168399066,-8.837425136576371e-05,0.002058513874890132,-0.00035985940000017667,0.00020465819999993323,0.002016456200000259
104,105,O,9.553951657235082,9.55568934628646,0.0017376890513780552,0.0020339979464445933,0.0014496750000014937,-0.0008362165999999047,0.0011559981999969078
88,89,O,8.939269544435609,8.9372386194317,-0.002030925003909445,0.0020317050937616057,-0.0003353983999998365,0.00019368599999975032,0.001994447100000023
106,107,O,9.553952049002548,9.555660217071527,0.001708168068978111,0.002030235382926531,2.1340000036442104e-07,0.0016981711000005405,0.0011126861999999065
98,99,O,9.553951657235082,9.555658757983373,0.0017071007482911682,0.002029154145167419,-0.001469974299999986,-0.0008487826000001079,0.0011118498999985237
85,86,O,8.939269544435609,8.937255218909439,-0.002014325526170424,0.002015167633605238,0.00032975080000012243,0.0001924761000000354,0.0019786657000004297
89,90,O,8.939269703551012,8.937255552544903,-0.002014151006109799,0.0020150267370180968,-2.8424000003609564e-06,-0.00038069009999995964,0.001978736900000113
95,96,O,5.839726807880059,5.839712276194206,-1.45316858528588e-05,0.0018457968245069519,2.3864700001408482e-05,-1.1324400000021951e-05,0.001845607799999347
57,58,Ga,9.533068365142988,9.534698760594381,0.0016303954513929853,0.0016344753227182896,-6.191799999392641e-06,-0.0007710346999995965,0.0014411720000001237
56,57,Ga,9.533068659363973,9.534698330435234,0.0016296710712602192,0.0016338424534645356,0.0006650531999996674,0.00039181929999986253,0.0014400079999989004
59,60,Ga,9.533068585093103,9.534677136192961,0.0016085510998582464,0.0016143070775898067,-0.0006764629999997507,0.00039081550000094855,0.0014126742000004416
86,87,O,9.553952774189801,9.553776689948883,-0.00017608424091797303,0.001483406258578221,-0.0011029345999999285,0.0006362031999999516,0.0007611011000004237
65,66,Ga,10.517767809178883,10.51653775822803,-0.0012300509508538227,0.0014756630122089668,-8.202800000197263e-06,5.041899999251198e-06,0.0014756315999998764
83,84,O,9.553952848298323,9.553759904776552,-0.00019294352177112728,0.001442829102034623,0.001065528099998338,0.0006086122999997535,0.0007589445000004797
84,85,O,9.553952554720482,9.553758858460613,-0.0001936962598687586,0.001442512648500769,6.6248000003360464e-06,-0.0012263855999998647,0.000759458500000251
122,123,O,7.403085410673647,7.4022653405117325,-0.0008200701619145434,0.0013197084098487718,2.0045699999278098e-05,-1.1167799999961189e-05,-0.001319508900000403
176,177,O,8.918069511486104,8.91716454715357,-0.0009049643325340639,0.0011959651801190913,3.321499999118042e-06,-1.9973000000386166e-06,0.001195958899999392
100,101,O,10.131409633965415,10.132324493845008,0.0009148598795931662,0.0011846156825130935,-0.00036073430000034323,0.0002085035999994803,0.0011089234999973991
103,104,O,10.131409668907702,10.132327538936732,0.0009178700290295438,0.001183642051537678,0.00032890679999995757,0.00020739639999943076,0.0011179514999987196
99,100,O,10.131409874365165,10.132327162967728,0.0009172886025634597,0.001183342349295392,-1.525720000011832e-05,-0.00038945400000007374,0.0011173145999977072
11,12,Zn,6.371336061998656,6.370889749693248,-0.0004463123054083695,0.001116408625051737,-2.7270000023588147e-07,-8.071000005590902e-07,-0.0011164083000023823
